Name of School,School Description,Type of School,Address,Phone Numbers,School Website,Link
Pace Setters College,Pace Setters College is a secondary school center in Abuja.,secondary-schools,"Plot 136, Wuye District, Wuye, Abuja FCT Nigeria","0803 352 0718, 0805 978 7174","=HYPERLINK(""http://pacesettersacademy.com/index.php/en/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Pace-Setters-College/12065/"",""Read more"")"
Regina Pacis College,Regina Pacis College is a girls secondary educational center in Abuja.,secondary-schools,"7, Ladoke Akintola Boulevard, Garki 2, Abuja FCT Nigeria",0803 625 2769,"=HYPERLINK(""http://home.reginapaciscollege.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Regina-Pacis-College/12056/"",""Read more"")"
The Hillside School,The Hillside School provides primary and secondary educational programme in Abuja.,secondary-schools,"69 A Road, Gwarimpa, Abuja FCT Nigeria","0807 791 2587, 0705 527 5196, 0815 673 1450","=HYPERLINK(""http://hillsideschoolng.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/The-Hillside-School/12054/"",""Read more"")"
Titsall Global Schools,Titsall Global Schools is a Secondary school in Abuja Nigeria for junior and senior secondary educational curriculum.,secondary-schools,"185, Adetokunbo Ademola Crescent, Wuse 2, Abuja FCT Nigeria","0807 764 2109, 0703 452 5250","=HYPERLINK(""http://titsallglobalschool.org/basic/?page_id=63"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Titsall-Global-Schools/4594/"",""Read more"")"
Tophill Secondary School,Tophill Secondary School offers educational programmes for secondary graders in Abuja.,secondary-schools,"Accra Street, Wuse Zone 5, Abuja FCT Nigeria","0803 787 0504, 0803 700 1480, 0709 820 4299","=HYPERLINK(""http://tophillschools.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Tophill-Secondary-School/12315/"",""Read more"")"
Whiteplains British School,Whiteplains British School is a secondary institution that provides a British-style education for students of all ethnic backgrounds.,secondary-schools,"Plot 528, Cadestral Zone B4, Jabi, Abuja FCT Nigeria","0704 069 3656, 0803 345 3457, 0703 233 7188","=HYPERLINK(""http://whiteplainsbritishedu.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Whiteplains-British-School/4592/"",""Read more"")"
Abuja Municipal Army Day Junior,Abuja Municipal Army Day Junior  offers junior secondary educational programmes in Abuja.,secondary-schools,"Asokoro Express-way, Asokoro, Abuja FCT, Nigeria",0805 496 9949,"=HYPERLINK(""http://www.finelib.com/listing/Abuja-Municipal-Army-Day-Junior/12318/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Abuja-Municipal-Army-Day-Junior/12318/"",""Read more"")"
Anglican Girls'Grammar School,Anglican Girls'Grammar School offers secondary school educational programmes in Abuja.,secondary-schools,"Gudu District, Legistlative Quarters, Apo, Gudu, Abuja FCT Nigeria",0803 500 4304,"=HYPERLINK(""http://www.finelib.com/listing/Anglican-GirlsGrammar-School/12716/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Anglican-GirlsGrammar-School/12716/"",""Read more"")"
Calvary Group of Schools,Calvary Group of Schools provides secondary school educational programmes in Abuja.,secondary-schools,"Yimi Road, Ikwa, Zuba, Abuja FCT Nigeria","0805 630 2326, 0705 181 7007","=HYPERLINK(""http://www.finelib.com/listing/Calvary-Group-of-Schools/12726/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Calvary-Group-of-Schools/12726/"",""Read more"")"
Cedar International Secondary School,Cedar International Secondary School offers secondary school educational programmes in Abuja,secondary-schools,"Iyayapi, Kubwa, Abuja FCT Nigeria",0805 273 6946,"=HYPERLINK(""http://www.finelib.com/listing/Cedar-International-Secondary-School/12756/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Cedar-International-Secondary-School/12756/"",""Read more"")"
City Royal Secondary School,City Royal Secondary School offers educational programmes for secondary school graders in Abuja.,secondary-schools,"By Flyover, Opp. AP Filling Station, Nyanya, Abuja FCT Nigeria",0805 108 2117,"=HYPERLINK(""http://www.finelib.com/listing/City-Royal-Secondary-School/12736/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/City-Royal-Secondary-School/12736/"",""Read more"")"
Dunamis International Schools Limited,Dunamis International Schools Limited offers educational programmes for secondary graders in Abuja,secondary-schools,"Jikwoyi Road, Karu, Abuja FCT Nigeria",0813 378 1271,"=HYPERLINK(""http://www.finelib.com/listing/Dunamis-International-Schools-Limited/12730/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Dunamis-International-Schools-Limited/12730/"",""Read more"")"
Fine Trust Comprehensive College,Fine Trust Comprehensive College provides secondary school educational programmes in Abuja.,secondary-schools,"Jikowyi phase 3, Jikowyi, Abuja FCT Nigeria",0805 357 1777,"=HYPERLINK(""http://www.finelib.com/listing/Fine-Trust-Comprehensive-College/12732/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Fine-Trust-Comprehensive-College/12732/"",""Read more"")"
"Government Day Secondary School, Gwagwalada",Government Day Secondary School offers educational programmes for secondary school graders in Abuja.,secondary-schools,"Specialist Hospital Road, Gwagwalada, Abuja FCT Nigeria","0802 355 8428, 0803 655 7702","=HYPERLINK(""http://www.finelib.com/listing/Government-Day-Secondary-School-Gwagwalada/12734/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Government-Day-Secondary-School-Gwagwalada/12734/"",""Read more"")"
"Government Day Secondary School, Karu",Government Day Secondary School offers educational programmes for secondary graders in Abuja.,secondary-schools,"Karishi Road, Ozoro, Karu, Abuja FCT Nigeria","0803 626 6687, 0802 305 9886","=HYPERLINK(""http://www.finelib.com/listing/Government-Day-Secondary-School-Karu/12739/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Government-Day-Secondary-School-Karu/12739/"",""Read more"")"
Holy Rosary International School,Holy Rosary International School provides educational programmes for secondary graders in Abuja.,secondary-schools,"51, Mambolo Street, Wuse Zone 2, Abuja FCT Nigeria",0706 943 3529,"=HYPERLINK(""http://www.finelib.com/listing/Holy-Rosary-International-School/12742/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Holy-Rosary-International-School/12742/"",""Read more"")"
New Dimension Group of Schools,New Dimension Group of Schools offers secondary school educational programmes in Abuja.,secondary-schools,"Byazhin Extension, Kubwa, Abuja FCT Nigeria",0706 690 7871,"=HYPERLINK(""http://www.finelib.com/listing/New-Dimension-Group-of-Schools/12761/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/New-Dimension-Group-of-Schools/12761/"",""Read more"")"
Rochas Foundation College,Rochas Foundation College provides secondary school educational programmes in Abuja.,secondary-schools,"1041, Ahmadu Bello Way, Garki, Abuja FCT Nigeria",0813-246-5873,"=HYPERLINK(""http://www.finelib.com/listing/Rochas-Foundation-College/12748/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Rochas-Foundation-College/12748/"",""Read more"")"
School for the Gifted Gwagwalada,School for the Gifted is a secondary school in Abuja that prepares students for a tertiary education and their future careers.,secondary-schools,"Along Lokoja Road, Gwagwalada, Abuja FCT NIgeria",0803 703 2898,"=HYPERLINK(""http://www.finelib.com/listing/School-for-the-Gifted-Gwagwalada/4596/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/School-for-the-Gifted-Gwagwalada/4596/"",""Read more"")"
Soliam School,Soliam School provides secondary school educational programme in Abuja.,secondary-schools,"House 14/16, Road 21, Gwarinpa Estate, Gwarinpa, Abuja FCT Nigeria",0803 614 3398,"=HYPERLINK(""http://www.finelib.com/listing/Soliam-School/4593/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Soliam-School/4593/"",""Read more"")"
Total Child Secondary School,Total Child Secondary School is a secondary institution providing educational learning system.,secondary-schools,"Dutse-Makaranta, Dutse, Abuja FCT Nigeria",0803 4536 349,"=HYPERLINK(""http://www.finelib.com/listing/Total-Child-Secondary-School/4595/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Total-Child-Secondary-School/4595/"",""Read more"")"
Whole Person Academy Secondary School,Whole Person Academy Secondary School provides educational programmes for secondary school graders in Abuja.,secondary-schools,"12B, Zuberu Close, NYSC Camp Gbazango, Extension II, Kubwa, Abuja FCT Nigeria",0803 613 6244,"=HYPERLINK(""http://www.finelib.com/listing/Whole-Person-Academy-Secondary-School/12760/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Whole-Person-Academy-Secondary-School/12760/"",""Read more"")"
