Name of School,School Description,Type of School,Address,Phone Numbers,School Website,Link
Desire of Nations Redeemer's School,Desire of Nations Redeemer's School offers educational programmes to nursery and primary graders in Abuja.,nursery-and-kindergarten,"Plot 496, Awolowo Way, Jabi, Abuja FCT Nigeria","0805 055 1217, 0802 534 2567","=HYPERLINK(""http://www.finelib.com/listing/Desire-of-Nations-Redeemers-School/12083/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Desire-of-Nations-Redeemers-School/12083/"",""Read more"")"
Divine Partners Academy,Divine Partners Academy offers educational programmes for nursery and primary graders in Abuja.,nursery-and-kindergarten,"Zone 6, Airport Road, Lugbe, Abuja FCT Nigeria",0805 882 3192,"=HYPERLINK(""http://www.finelib.com/listing/Divine-Partners-Academy/12085/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Divine-Partners-Academy/12085/"",""Read more"")"
First Baptist Nursery & Primary School,"First Baptist Nursery & Primary School is an educational center in Abuja, Nigeria for nursery, primary and kindergarten education learning",nursery-and-kindergarten,"Plot 15, Port Harcourt Crescent, Area 2, Garki, Abuja FCT Nigeria",0803 311 7173,"=HYPERLINK(""http://www.finelib.com/listing/First-Baptist-Nursery--Primary-School/4604/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/First-Baptist-Nursery--Primary-School/4604/"",""Read more"")"
Fountain Nursery and Primary School,"Fountain Nursery and Primary School, an educational center for kindergarten, nursery and primary shool educational programmes.",nursery-and-kindergarten,"Plot 401A, Karu-Karshi Road, Jikwoyi, Abuja FCT Nigeria",0803 598 5993,"=HYPERLINK(""http://www.finelib.com/listing/Fountain-Nursery-and-Primary-School/4606/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Fountain-Nursery-and-Primary-School/4606/"",""Read more"")"
Grace and Gold School,Grace and Gold School offers educational programmes for nursery and kindergarten graders in Abuja.,nursery-and-kindergarten,"Area 1, Near Old Federal Secreteriat, Durumi, Abuja FCT Nigeria","0702 785 5927, 0803 343 2159, 0813 571 1418","=HYPERLINK(""http://www.finelib.com/listing/Grace-and-Gold-School/12123/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Grace-and-Gold-School/12123/"",""Read more"")"
Grand Regal International School,"Grand Regal International School offers creche, nursery and kindergarten educational programmes in Abuja.",nursery-and-kindergarten,"22, 24 Crescent, Gwarinpa Estate, Gwarinpa, Abuja FCT Nigeria","0709 881 8062, 0803 589 7333","=HYPERLINK(""http://www.finelib.com/listing/Grand-Regal-International-School/12128/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Grand-Regal-International-School/12128/"",""Read more"")"
Lakeside Academy,Lakeside Academy offers educational programmes for nursery and primary graders in Abuja.,nursery-and-kindergarten,"4, Asheik Jarma Street, Jabi District, Jabi, Abuja FCT Nigeria","0803 555 4050, 0803 968 1838","=HYPERLINK(""http://www.finelib.com/listing/Lakeside-Academy/12171/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Lakeside-Academy/12171/"",""Read more"")"
New Foundation School,New Foundation School offers educational programmes for nursery and primary graders in Abuja.,nursery-and-kindergarten,"Plot 397, Phase 1 Layout, Lugbe, Airport Road, Lugbe, Abuja FCT Nigeria","0803 317 6309, 0702 542 0557","=HYPERLINK(""http://www.finelib.com/listing/New-Foundation-School/12209/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/New-Foundation-School/12209/"",""Read more"")"
St Anthony Schools,"St Anthony Schools offers creche, pre-nursery and nursery edcational programme in Abuja",nursery-and-kindergarten,"101, Oba Ovarawen Street, Works and Housing Estate, Gwarimpa, Abuja FCT Nigeria","0818 248 7177, 0803 355 7225","=HYPERLINK(""http://www.finelib.com/listing/St-Anthony-Schools/12052/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/St-Anthony-Schools/12052/"",""Read more"")"
Tender Years Preparatory School,Tender Years Preparatory School offers nursery educational programmes in Abuja.,nursery-and-kindergarten,"Plot 1231, Aminu Kano Crescent, Wuse 2, FCT, Nigeria",0803 652 2027,"=HYPERLINK(""http://www.finelib.com/listing/Tender-Years-Preparatory-School/12303/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Tender-Years-Preparatory-School/12303/"",""Read more"")"
Titsall Private School,Titsall Private School provides nursery and primary educational programmes in Abuja.,nursery-and-kindergarten,"Plot 346, Adetokunbo Ademola Crescent, Wuse 2, Abuja FCT Nigeria",0803 453 6349,"=HYPERLINK(""http://www.finelib.com/listing/Titsall-Private-School/12310/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Titsall-Private-School/12310/"",""Read more"")"
Top Hill Nursery and Primary School,Top Hill Nursery and Primary School offers nursery educational programmes in Abuja.,nursery-and-kindergarten,"Accra Street, Wuse Zone 5, Abuja FCT Nigeria",0709 820 4299,"=HYPERLINK(""http://www.finelib.com/listing/Top-Hill-Nursery-and-Primary-School/12213/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Top-Hill-Nursery-and-Primary-School/12213/"",""Read more"")"
Wonderful Daycare,Wonderful Daycare is an education center for kindergarten and nursery education programmes.,nursery-and-kindergarten,"Opp. Mr. Biggs, Lagos Crescent, Garki 2, Abuja FCT Nigeria",0805 526 9905,"=HYPERLINK(""http://www.finelib.com/listing/Wonderful-Daycare/4605/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Wonderful-Daycare/4605/"",""Read more"")"
