Name of School,School Description,Type of School,Address,Phone Numbers,School Website,Link
Parliamentary International School,Parliamentary International School offer nursery and primary educational programmes in Abuja.,primary-schools,"Plot 868, Jonathan Mariere Road, Gudu District, Gudu, Abuja FCT Nigeria","0701 683 9897, 0808 514 7049, 0803 216 6358","=HYPERLINK(""http://www.parliamentinternationalschools.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Parliamentary-International-School/12246/"",""Read more"")"
Royal Family Academy,Royal Family Academy offers primary educational programmes in Abuja.,primary-schools,"Plot 648, Idris Gidado, Wuse, Abuja FCT Nigeria","0805 356 1109, 0704 084 7543","=HYPERLINK(""http://royalfamilyacademy.org/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Royal-Family-Academy/12267/"",""Read more"")"
Sanusi Dantata Memorial School Abuja,"Sanusi Dantata Memorial School offers western education, Islamic, Arabic and Quranic education programmes in Abuja",primary-schools,"Plot 420, Constitution Avenue, CBD, Abuja FCT Nigeria",0813-106-8705,"=HYPERLINK(""http://sdmsabuja.com/index.html"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Sanusi-Dantata-Memorial-School-Abuja/12058/"",""Read more"")"
Shepherds-Field Academy,Shepherds-Field Academy offers primary educational programmes in Abuja.,primary-schools,"Plot 114, Shepherds-Field Street, Karu, Abuja FCT Nigeria","0802 518 9923, 0703-601-1540","=HYPERLINK(""http://www.shepherdsfieldacademy.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/ShepherdsField-Academy/12271/"",""Read more"")"
Start-Rite Nursery and Primary School,"Start-Rite Schools is a vibrant, happy, learning community that offers excellent value-based education for your child.",primary-schools,"Plot 1036 Adesoji Aderemi Street, Off Jeremi Mariere Road, After Zone E, Apo Legislative Quarters, Gudu District, Abuja","08106334006, 08182643930","=HYPERLINK(""http://startriteschools.com.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/StartRite-Nursery-and-Primary-School/39361/"",""Read more"")"
Surestart Private Schools,Surestart Private Schools provides educational programmes in Abuja for nursery graders.,primary-schools,"Plot L63A, Bauchi Road, Kubwa Extension 3 Layout, Kubwa, Abuja FCT Nigeria","0803 308 4221, 0805 511 8782, 0803 932 3709","=HYPERLINK(""http://www.surestartprivateschool.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Surestart-Private-Schools/12297/"",""Read more"")"
The Bees Knees School Abuja,The Bees Knees School Abuja is a co educational school for ages 3month to 11years. It's one of the best schools in Abuja. We are located in the heart of Abuja in Wuse 2.,primary-schools,"29, Kumasi Crescent, Wuse 2, Abuja FCT Nigeria","0803 949 9202, 0803 608 6186","=HYPERLINK(""http://www.thebeeskneesschoolabuja.com/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/The-Bees-Knees-School-Abuja/24736/"",""Read more"")"
The Regent School Abuja,The Regent School provides educational programmes for nursery and primary graders in Abuja.,primary-schools,"1, Euphrates Street, Maitama, Abuja FCT Nigeria","0703 779 3322, 0705 565 1431","=HYPERLINK(""http://regentschoolabuja.com/primary"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/The-Regent-School-Abuja/12094/"",""Read more"")"
Tiggy Winklers School,Tiggy Winklers School offers primary school educational programmes in Abuja.,primary-schools,"7, Gusau Road, War College, Gwarinpa, Abuja FCT Nigeria","0805 457 8043, 0909 709 7525","=HYPERLINK(""http://www.tiggywinklerschool.com.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Tiggy-Winklers-School/12306/"",""Read more"")"
Unique Blossom Schools,Unique Blossom Schools offers nursery and primary school educational programmes.,primary-schools,"Plot 2251, Tangayika Street, Maitama, Abuja FCT Nigeria","0703-395-8687, 0814-448-4127, 0704-211-3897","=HYPERLINK(""http://www.uniqueblossomschools.com/contact.php"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Unique-Blossom-Schools/12053/"",""Read more"")"
Unity Group of Schools,Unity Group of Schools provides educational programmes for nursery and primary graders in Abuja.,primary-schools,"28A, Hospital Road, Phase IV, Kubwa, Abuja FCT Nigeria",0805 135 5580,"=HYPERLINK(""http://unityschoolskubwa.com.ng/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Unity-Group-of-Schools/12239/"",""Read more"")"
Al-mohass International School,Al-mohass International School offers nursery and primary educational programme in Abuja.,primary-schools,"Plot 260, Gwagwalada Expansion Layout, Gwagwalada, Abuja FCT Nigeria","0803 518 1250, 0803 596 9411","=HYPERLINK(""http://www.finelib.com/listing/Almohass-International-School/12069/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Almohass-International-School/12069/"",""Read more"")"
Angelwings Nursery And Primary School,Angelwings provides educational programme for nursery and primary graders in Abuja.,primary-schools,"PW , Phase 1, Site 1, Maroko Road, Kubwa, Abuja FCT Nigeria","0807 797 7970, 0803 651 3400, 0805 025 5121","=HYPERLINK(""http://www.finelib.com/listing/Angelwings-Nursery-And-Primary-School/12071/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Angelwings-Nursery-And-Primary-School/12071/"",""Read more"")"
Baliz Creche Nursery & Primary School,Baliz Creche Nursery & Primary School offers post nursery educational programmes in Abuja.,primary-schools,"174, Aminu Kano Crescent, Wuse 2, Abuja FCT Nigeria",0803 627 9616,"=HYPERLINK(""http://www.finelib.com/listing/Baliz-Creche-Nursery--Primary-School/12070/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Baliz-Creche-Nursery--Primary-School/12070/"",""Read more"")"
Baptist Church Nursery & Primary,Baptist Church Nursery & Primary offers educational programmes for nursery and primary graders.,primary-schools,"Plot 15, Port Harcourt Crescent, Area 2, Garki, Abuja FCT Nigeria",0803 311 7173,"=HYPERLINK(""http://www.finelib.com/listing/Baptist-Church-Nursery--Primary/12113/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Baptist-Church-Nursery--Primary/12113/"",""Read more"")"
Beida Nursery and Primary School,"Beida Nursery and Primary School, a primary education center that offers pre-primary and primary 1-6 educational programmes.",primary-schools,"PW, Along 1st Avenue, Kubwa, Abuja FCT Nigeria",0803 597 1976,"=HYPERLINK(""http://www.finelib.com/listing/Beida-Nursery-and-Primary-School/4602/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Beida-Nursery-and-Primary-School/4602/"",""Read more"")"
Christabel Private School,Christabel Private School offers educational programme to nursery and primary graders in Abuja.,primary-schools,"Plot 649, Cadastral Zone B, Wuye District, Abuja FCT Nigeria","0802 350 4951, 0704 008 7560","=HYPERLINK(""http://www.finelib.com/listing/Christabel-Private-School/12079/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Christabel-Private-School/12079/"",""Read more"")"
Delphia Kiddies Land,Delphia Kiddies Land offers primary educational programmes in Abuja.,primary-schools,"House 27, 351 Road, 3rd Avenue, Gwarinpa, Abuja FCT Nigeria",0803 787 7563,"=HYPERLINK(""http://www.finelib.com/listing/Delphia-Kiddies-Land/12081/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Delphia-Kiddies-Land/12081/"",""Read more"")"
Dominion International Schools,Dominion International Schools offers primary educational programmes in Abuja.,primary-schools,"Phase 1 Extention, Jikwoyi, Abuja FCT Nigeria",0802 392 9857,"=HYPERLINK(""http://www.finelib.com/listing/Dominion-International-Schools/12241/"",""Visit School"")","=HYPERLINK(""http://www.finelib.com/listing/Dominion-International-Schools/12241/"",""Read more"")"
